time,z,y,x
14.036,0.298217,0.39463,0.133469
14.068,0.000426498,0.281015,0.00681433
14.1041,0.184452,0.605366,0.0526112
14.136,0.308473,0.564141,0.296667
14.168,0.0559306,0.250934,0.448163
14.2041,0.243596,-0.0349457,0.584546
14.236,0.608654,0.0460354,-0.0633788
14.2681,0.304816,0.0152066,-0.219121
14.3045,-0.143602,-0.076695,0.0541951
14.3359,-0.266086,0.0163207,0.474447
14.368,-0.249438,-0.410807,-0.608675
14.404,-0.356405,-0.311537,-0.279619
14.436,-0.505428,-0.673631,-0.0363184
14.4681,-0.530407,-0.250584,-0.133883
14.504,-0.651499,-1.09615,-0.128351
14.5363,-0.645251,-0.19842,-0.067271
14.568,-0.670296,-0.539915,-0.276202
14.604,-0.533247,-0.438919,-0.429216
14.636,-0.364676,-1.32617,-0.00317112
14.6708,-0.325659,-0.824836,-0.189958
14.7049,-0.154721,-0.821637,-0.335612
14.7367,-0.290814,-1.09379,-0.00145091
14.768,-0.418886,-1.03388,-0.34118
14.8361,-0.183779,1.03526,-0.151727
14.868,0.189223,1.24173,-0.133009
14.9359,0.565256,-1.8328,0.341345
14.9679,-0.228931,-0.74464,-0.186693
15.004,-0.151903,-0.55356,-0.0654204
15.0361,-0.115218,-0.296456,-0.194744
15.068,-0.247194,-0.0798872,-0.287143
15.104,-0.0493586,0.0492136,-0.237495
15.1359,-0.0142987,-0.0223738,-0.162233
15.1679,-0.059914,-0.00660811,0.0442531
15.2041,0.0912166,-0.0459197,-0.00338948
15.2359,0.082151,-0.142056,0.223208
15.268,0.148543,-0.0897815,0.151589
15.3041,0.0108654,0.0365671,-3.53198e-05
15.336,0.0638743,-0.0627012,0.408796
15.369,-0.0366609,-0.122821,0.253389
15.4039,0.109692,-0.172388,0.0820901
15.4359,0.0515838,-0.0840012,0.0805173
15.4679,0.0581717,-0.20925,0.083148
15.504,0.0699658,-0.0843175,-0.0985015
15.5359,0.513691,-0.425537,0.260535
15.5679,0.273983,-0.217603,0.0689516
15.6042,-0.220395,0.163707,-0.415635
15.636,0.0432863,-0.113658,0.285996
15.668,0.0151713,0.111425,0.220888
15.7041,0.0870536,0.109843,0.103579
15.7361,0.00143231,-0.0110503,0.142983
15.7679,-0.0588447,0.0658869,-0.0284407
15.8039,0.0817978,0.00750157,0.0348892
15.8359,0.0607427,-0.0342547,0.117784
15.8682,-0.121031,-0.124692,0.0244637
15.904,-0.106745,0.206532,0.149778
15.9359,-0.0323135,0.235824,0.173728
15.968,-0.214341,0.223201,-0.196008
16.004,-0.0551136,0.331269,0.000107098
16.0359,0.294163,-0.357792,0.888939
16.0679,-0.145139,-0.022663,0.173304
16.1039,-0.180647,0.184302,-0.281417
16.136,0.0512743,-0.0290334,0.706295
16.168,-0.21113,0.226963,0.198923
16.2039,0.24568,-0.265359,1.18633
16.236,0.200818,-0.0218722,-0.1469
16.2704,0.154668,-0.00510427,0.0836343
16.304,0.116029,-0.0892406,0.39044
16.336,-0.0949234,0.0780067,-0.326236
16.3691,0.0133409,0.0245385,-0.0713494
16.404,-0.14929,0.064217,0.0448187
16.4408,-0.131878,0.174404,0.00407742
16.47,-0.129462,0.0568159,-0.349652
16.504,-0.235588,0.0473351,-0.185124
16.5361,0.0676174,0.00164429,0.158302
16.5715,0.0646223,-0.206181,-0.293058
16.604,-0.202842,-0.212025,-0.175828
16.6359,-0.0535383,-0.0496413,-0.112641
16.6714,-0.230976,0.137784,0.1174
16.7039,-0.223016,0.147283,-0.224166
16.7359,-0.0649129,0.12001,-0.0693957
16.8041,-0.186209,-0.0176946,-0.356109
16.8361,-0.0134966,0.0292319,-0.236661
16.8719,-0.077574,0.010886,-0.136092
16.9039,0.0194735,0.255311,-0.183671
16.936,0.108668,-0.0237516,-0.056076
16.9723,-0.0236854,0.202749,-0.0485686
17.0039,0.0257422,0.152408,0.145632
17.0361,0.140065,0.0470846,0.00506472
17.0721,-0.107798,0.0304731,-0.078532
17.1039,0.113131,-0.0977905,-0.0584044
17.1724,-0.0370975,-0.030756,0.0955536
17.2039,0.14767,-0.0833053,-0.0787981
17.2362,-0.0210073,0.252718,-0.249472
17.2724,0.0146769,-0.00741052,0.220265
17.304,0.0269277,0.334075,-0.284764
17.3359,0.0894116,-0.108213,-0.0921577
17.3721,0.0199775,0.042724,-0.168999
17.4043,-0.0308908,0.144083,-0.311371
17.4397,0.144447,0.027749,-0.205214
17.4726,-0.217335,0.113391,-0.298643
17.5039,0.204235,0.305462,-0.601784
17.5399,0.335962,0.0614814,-0.264947
17.5719,0.222445,-0.175888,-0.193096
17.6039,0.0684456,0.0308202,-0.412617
17.6392,0.490041,0.0150585,-0.212296
17.6721,0.025802,0.0878933,-0.112703
17.7039,-0.0363773,0.165272,0.090882
17.7361,0.00865867,0.11685,-0.415857
17.7721,-0.0827491,0.0900506,-0.218068
17.8042,-0.0727763,0.412072,-0.300273
17.84,0.148018,0.0770464,-0.55625
17.872,0.210869,-0.16604,-0.22747
17.9041,0.100127,-0.0995508,-0.0267523
17.9399,0.106588,-0.149606,-0.224894
17.9729,0.173381,0.0226143,0.0202491
18.0039,0.0283574,0.039432,0.290619
18.0399,-0.129445,-0.0267759,0.318989
18.0727,-0.107107,-0.0368572,0.200575
18.1041,-0.110703,0.00861533,0.278393
18.1399,-0.114311,0.0235986,0.304584
18.1725,-0.0459305,-0.0177823,0.124441
18.2041,0.056017,-0.0114257,0.386072
18.2401,-0.0987761,-0.0259374,0.544429
18.2721,0.0983215,-0.0199425,0.128298
18.3041,0.108492,-0.0480227,0.392485
18.3395,0.070698,-0.181575,0.441822
18.3724,0.183156,-0.167379,0.246643
18.4042,0.255556,-0.340267,0.173546
18.4399,-0.0187719,-0.184372,0.36882
18.472,-0.0564231,-0.000919702,0.357852
18.504,0.0287616,-0.0930082,0.148327
18.5392,-0.0501532,-0.021848,0.255115
18.5721,0.0508498,-0.239423,0.120888
18.6046,-0.0680435,0.0307871,0.340557
18.6396,-0.120824,-0.204059,-0.028152
18.6726,-0.165299,0.0459008,0.142353
18.7081,-0.0236281,0.0370339,0.220541
18.7401,-0.12464,0.00711431,0.00868933
18.7722,-0.218614,0.0230566,0.0472878
18.8081,-0.0137038,-0.0808307,0.239425
18.8397,-0.161183,0.0571868,0.103691
18.8722,0.0111456,-0.0935133,-0.00249256
18.9078,0.019849,-0.122597,0.137501
18.9394,-0.016086,-0.0428591,0.0372008
18.972,0.0251808,-0.152887,0.00383635
19.008,0.000461559,-0.0953575,0.200551
19.0361,-0.0846332,0.166728,-0.0369717
19.0719,0.179451,-0.108,0.00139918
19.1076,0.072603,-0.0503768,0.0224301
19.1383,0.00551577,0.00840055,0.0816631
19.1722,0.271629,-0.386692,-0.0899238
19.2079,-0.0943881,0.0411226,0.295898
